Input_Symptom_ID,Patient_Expression_CN,Standard_Clinical_Term_CN,Standard_Clinical_Term_EN,Feature_Name,Symptom_Category_CN,Clinical_Importance_CN
AD_INPUT_CN_0119,不会按清单买东西,购物困难,Shopping difficulty,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0120,超市里容易不知道该买什么,购物困难,Shopping difficulty,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0121,穿衣洗漱需要人帮忙,基本日常生活能力受损,Basic ADL impairment,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0122,吃饭或如厕需要照护,基本日常生活能力受损,Basic ADL impairment,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0123,基本生活越来越依赖别人,基本日常生活能力受损,Basic ADL impairment,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0124,洗澡穿衣这些事也做不好,基本日常生活能力受损,Basic ADL impairment,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0125,出现独立生活能力下降,独立生活能力下降,Loss of independence,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0126,家属反映有独立生活能力下降,独立生活能力下降,Loss of independence,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0127,门诊描述为独立生活能力下降,独立生活能力下降,Loss of independence,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0128,对以前喜欢的事情不感兴趣,淡漠,Apathy,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0129,整天不想做事,淡漠,Apathy,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0130,主动性明显下降,淡漠,Apathy,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0131,家属觉得他变得很淡漠,淡漠,Apathy,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0132,容易烦躁坐立不安,激越,Agitation,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0133,最近常无故发脾气,激越,Agitation,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0134,情绪激动难以安抚,激越,Agitation,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0135,晚上或陌生环境下特别焦躁,激越,Agitation,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0136,出现人格或行为方式改变,人格或行为方式改变,Personality change,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0137,家属反映有人格或行为方式改变,人格或行为方式改变,Personality change,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0138,门诊描述为人格或行为方式改变,人格或行为方式改变,Personality change,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0139,情绪低落、兴趣下降,抑郁症状,Depressive symptoms,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0140,总觉得没意思,抑郁症状,Depressive symptoms,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0141,不愿出门也不愿交流,抑郁症状,Depressive symptoms,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0142,最近明显闷闷不乐,抑郁症状,Depressive symptoms,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0143,总怀疑别人偷东西,妄想,Delusions,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0144,认为家人害他或骗他,妄想,Delusions,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0145,坚持一些没有根据的想法,妄想,Delusions,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0146,怀疑配偶或邻居有问题,妄想,Delusions,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0147,会看到别人看不到的东西,幻觉,Hallucinations,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0148,说屋里有人但别人没看到,幻觉,Hallucinations,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0149,听到或看到不存在的内容,幻觉,Hallucinations,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0150,描述不存在的人或影像,幻觉,Hallucinations,behavioral_symptoms,行为精神症状,淡漠、激越、人格改变等行为精神症状可出现在AD病程中，但若早期即突出，应加强鉴别诊断。
AD_INPUT_CN_0151,注意力很难集中,注意功能受损,Attentional impairment,attention_impairment,注意功能,注意维持和集中能力下降需要结合起病方式和波动性判断，急性或明显波动时应优先排除谵妄、路易体痴呆等情况。
AD_INPUT_CN_0152,说话时容易走神,注意功能受损,Attentional impairment,attention_impairment,注意功能,注意维持和集中能力下降需要结合起病方式和波动性判断，急性或明显波动时应优先排除谵妄、路易体痴呆等情况。
AD_INPUT_CN_0153,做事经常被打断后接不上,注意功能受损,Attentional impairment,attention_impairment,注意功能,注意维持和集中能力下降需要结合起病方式和波动性判断，急性或明显波动时应优先排除谵妄、路易体痴呆等情况。
AD_INPUT_CN_0154,看电视或聊天不能持续注意,注意功能受损,Attentional impairment,attention_impairment,注意功能,注意维持和集中能力下降需要结合起病方式和波动性判断，急性或明显波动时应优先排除谵妄、路易体痴呆等情况。
AD_INPUT_CN_0155,看东西时容易漏掉一部分,视觉注意受损,Visual attention impairment,attention_impairment,注意功能,注意维持和集中能力下降需要结合起病方式和波动性判断，急性或明显波动时应优先排除谵妄、路易体痴呆等情况。
AD_INPUT_CN_0156,在复杂场景里找不到目标,视觉注意受损,Visual attention impairment,attention_impairment,注意功能,注意维持和集中能力下降需要结合起病方式和波动性判断，急性或明显波动时应优先排除谵妄、路易体痴呆等情况。
AD_INPUT_CN_0157,视觉搜索变慢,视觉注意受损,Visual attention impairment,attention_impairment,注意功能,注意维持和集中能力下降需要结合起病方式和波动性判断，急性或明显波动时应优先排除谵妄、路易体痴呆等情况。
AD_INPUT_CN_0158,看图或找物品时注意力跟不上,视觉注意受损,Visual attention impairment,attention_impairment,注意功能,注意维持和集中能力下降需要结合起病方式和波动性判断，急性或明显波动时应优先排除谵妄、路易体痴呆等情况。
